car,reality,children,income,income_type,education,family,house,birth_days,employed_days,mobile,workphone,phone,email,family_size,STATUS
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,3.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,4.0,0
0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3.0,0
0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,4.0,0
0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,3.0,0
0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,3.0,0
0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,3.0,0
0,1,1,225000.0,4,4,1,1,-10321,-2808,1,0,0,0,3.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,216000.0,2,1,1,1,-15444,-3112,1,0,0,1,4.0,0
0,1,2,157500.0,4,4,3,1,-14326,-555,1,0,0,0,3.0,0
0,1,2,157500.0,4,4,3,1,-14326,-555,1,0,0,0,3.0,0
0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,4.0,0
0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,4.0,0
0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,4.0,0
0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,4.0,0
0,1,2,202500.0,4,1,1,1,-10997,-2289,1,0,0,1,4.0,0
1,1,1,450000.0,2,1,1,1,-17726,-708,1,0,1,1,3.0,0
1,1,1,450000.0,2,1,1,1,-17726,-708,1,0,1,1,3.0,0
0,1,1,180000.0,4,4,1,5,-14122,-1286,1,0,0,0,3.0,0
1,0,2,202500.0,0,1,1,1,-14730,-2989,1,0,0,0,4.0,0
1,0,2,202500.0,0,1,1,1,-14730,-2989,1,0,0,0,4.0,0
1,1,1,765000.0,4,1,1,1,-12197,-1194,1,1,0,0,3.0,0
1,1,1,765000.0,4,1,1,1,-12197,-1194,1,1,0,0,3.0,0
1,1,1,765000.0,4,1,1,1,-12197,-1194,1,1,0,0,3.0,0
0,1,1,270000.0,0,4,1,1,-13679,-4391,1,0,0,1,3.0,0
0,1,1,270000.0,0,4,1,1,-13679,-4391,1,0,0,1,3.0,0
0,1,1,270000.0,0,4,1,1,-13679,-4391,1,0,0,1,3.0,0
1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4.0,0
1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4.0,0
1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4.0,0
1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4.0,0
1,1,2,157500.0,4,4,1,5,-12859,-4056,1,0,1,0,4.0,0
1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9957,-921,1,1,0,0,3.0,0
0,0,2,225000.0,4,1,1,1,-11281,-1744,1,1,0,1,4.0,0
1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,3.0,0
1,0,1,135000.0,4,4,1,1,-9430,-1195,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,1,76500.0,4,1,0,1,-12506,-495,1,1,0,0,3.0,0
0,0,2,67500.0,0,1,1,1,-10331,-433,1,0,1,0,4.0,0
0,0,2,135000.0,4,4,1,1,-9736,-2870,1,0,0,0,4.0,0
0,0,2,135000.0,4,4,1,1,-9736,-2870,1,0,0,0,4.0,0
0,0,2,135000.0,4,4,1,1,-9736,-2870,1,0,0,0,4.0,0
1,0,2,180000.0,4,2,1,1,-12463,-2170,1,1,0,0,4.0,0
1,0,2,180000.0,4,2,1,1,-12463,-2170,1,1,0,0,4.0,0
1,0,2,180000.0,4,2,1,1,-12463,-2170,1,1,0,0,4.0,0
